City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
472,Zamora,EC,69.12,light rain,-4.0692,-78.9567,Cabañas Ecológicas Copalinga
475,Claudio,BR,65.46,overcast clouds,-20.4433,-44.7658,Hotel 3 Irmãos
476,Maracacume,BR,75.09,overcast clouds,-2.0428,-45.9592,Hotel Ramos
477,Galesong,ID,87.82,overcast clouds,-5.3166,119.3661,Sapriadi Appy
478,Balaka,MW,76.28,broken clouds,-14.9793,34.9558,Sun Village Lodge
479,Eregli,TR,45.32,overcast clouds,37.5133,34.0467,Hotel Fuat Bey
481,Humberto De Campos,BR,76.6,overcast clouds,-2.5983,-43.4611,Pousada do Cabeça
482,Amli,IN,80.4,broken clouds,20.2833,73.0167,Hotel Soubhagya Inn
483,Glenwood Springs,US,48.0,overcast clouds,39.5505,-107.3248,Glenwood Springs Cedar Lodge
484,Swan Hill,AU,70.79,overcast clouds,-35.3378,143.5544,Lazy River Motor Inn
485,Atar,MR,78.06,broken clouds,20.5169,-13.0499,Oumou Elghoura
490,Abis,PH,84.4,overcast clouds,9.7173,122.9438,Honey's Relax Inn
491,Los Llanos De Aridane,ES,64.15,clear sky,28.6585,-17.9182,Valle Aridane
492,Ugoofaaru,MV,81.39,overcast clouds,5.6667,73.0,Ungoofaaru Inn
494,Adelaide,AU,73.47,broken clouds,-34.9333,138.6,The Chancellor on Currie
497,Baghdad,IQ,49.91,clear sky,33.3406,44.4009,Baghdad Hotel
498,Razole,IN,82.69,few clouds,16.4833,81.8333,Sterling Palavelli Godavari
500,Lompoc,US,57.11,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
502,Florianopolis,BR,71.62,scattered clouds,-27.6146,-48.5012,Hotel Boutique Quinta das Videiras
503,Ternate,ID,85.14,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
505,Sabinas,MX,62.96,overcast clouds,27.85,-101.1167,Hotel San Jose
508,Mildura,AU,84.07,moderate rain,-34.2,142.15,Mercure Hotel Mildura
510,Altamira,BR,76.5,overcast clouds,-3.2033,-52.2064,Requinte Hotel
511,Alugan,PH,81.79,moderate rain,12.2188,125.4808,JM Lodge
512,Macia,MZ,66.74,light rain,-25.0269,33.0989,Hotel Taskin Macia
513,Corrente,BR,74.34,broken clouds,-3.7367,-43.3394,Chapadinhense Hotel
516,Doctor Arroyo,MX,56.84,scattered clouds,23.6667,-100.1833,Hotel Plaza
518,Harrison,US,46.47,clear sky,30.4091,-89.0436,Residence Inn by Marriott Gulfport-Biloxi Airport
520,Mankono,CI,72.95,clear sky,8.0586,-6.1897,Hôtel cotonputeur
523,Formosa,AR,75.18,clear sky,-26.1775,-58.1781,Hotel Portal del Sol
524,San Lawrenz,MT,53.01,broken clouds,36.0553,14.204,San Andrea Hotel
525,Kassala,SD,71.71,scattered clouds,15.451,36.4,Amassi Hotel Gash
527,Grand-Lahou,CI,78.67,clear sky,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
528,Cayenne,GF,81.09,few clouds,4.9333,-52.3333,Hôtel Le Dronmi
529,Ucluelet,CA,43.09,scattered clouds,48.9329,-125.5528,Black Rock Oceanfront Resort
